date,areaType,areaCode,areaName,newCasesByPublishDate
"2020-11-22",nation,E92000001,England,16668
"2020-11-21",nation,E92000001,England,17615
"2020-11-20",nation,E92000001,England,17845
"2020-11-19",nation,E92000001,England,20291
"2020-11-18",nation,E92000001,England,17189
"2020-11-17",nation,E92000001,England,17549
"2020-11-16",nation,E92000001,England,19423
"2020-11-15",nation,E92000001,England,21998
"2020-11-14",nation,E92000001,England,24298
"2020-11-13",nation,E92000001,England,24540
"2020-11-12",nation,E92000001,England,30843
"2020-11-11",nation,E92000001,England,19970
"2020-11-10",nation,E92000001,England,18622
"2020-11-09",nation,E92000001,England,19036
"2020-11-08",nation,E92000001,England,18293
"2020-11-07",nation,E92000001,England,21875
"2020-11-06",nation,E92000001,England,20268
"2020-11-05",nation,E92000001,England,21137
"2020-11-04",nation,E92000001,England,21863
"2020-11-03",nation,E92000001,England,17330
"2020-11-02",nation,E92000001,England,15860
"2020-11-01",nation,E92000001,England,20602
"2020-10-31",nation,E92000001,England,18864
"2020-10-30",nation,E92000001,England,20821
"2020-10-29",nation,E92000001,England,19740
"2020-10-28",nation,E92000001,England,21245
"2020-10-27",nation,E92000001,England,19629
"2020-10-26",nation,E92000001,England,17883
"2020-10-25",nation,E92000001,England,16487
"2020-10-24",nation,E92000001,England,19332
"2020-10-23",nation,E92000001,England,17116
"2020-10-22",nation,E92000001,England,17354
"2020-10-21",nation,E92000001,England,22948
"2020-10-20",nation,E92000001,England,17814
"2020-10-19",nation,E92000001,England,16365
"2020-10-18",nation,E92000001,England,14704
"2020-10-17",nation,E92000001,England,13299
"2020-10-16",nation,E92000001,England,12176
"2020-10-15",nation,E92000001,England,16139
"2020-10-14",nation,E92000001,England,16132
"2020-10-13",nation,E92000001,England,14310
"2020-10-12",nation,E92000001,England,11647
"2020-10-11",nation,E92000001,England,10383
"2020-10-10",nation,E92000001,England,12628
"2020-10-09",nation,E92000001,England,10772
"2020-10-08",nation,E92000001,England,14952
"2020-10-07",nation,E92000001,England,11528
"2020-10-06",nation,E92000001,England,12648
"2020-10-05",nation,E92000001,England,10685
"2020-10-04",nation,E92000001,England,21309
"2020-10-03",nation,E92000001,England,10806
"2020-10-02",nation,E92000001,England,4797
"2020-10-01",nation,E92000001,England,5589
"2020-09-30",nation,E92000001,England,5656
"2020-09-29",nation,E92000001,England,5651
"2020-09-28",nation,E92000001,England,3316
"2020-09-27",nation,E92000001,England,4800
"2020-09-26",nation,E92000001,England,4639
"2020-09-25",nation,E92000001,England,5723
"2020-09-24",nation,E92000001,England,5632
"2020-09-23",nation,E92000001,England,5083
"2020-09-22",nation,E92000001,England,4187
"2020-09-21",nation,E92000001,England,3754
"2020-09-20",nation,E92000001,England,3279
"2020-09-19",nation,E92000001,England,3638
"2020-09-18",nation,E92000001,England,3771
"2020-09-17",nation,E92000001,England,2788
"2020-09-16",nation,E92000001,England,3396
"2020-09-15",nation,E92000001,England,2649
"2020-09-14",nation,E92000001,England,2259
"2020-09-13",nation,E92000001,England,2837
"2020-09-12",nation,E92000001,England,3008
"2020-09-11",nation,E92000001,England,3143
"2020-09-10",nation,E92000001,England,2578
"2020-09-09",nation,E92000001,England,2286
"2020-09-08",nation,E92000001,England,2094
"2020-09-07",nation,E92000001,England,2528
"2020-09-06",nation,E92000001,England,2576
"2020-09-05",nation,E92000001,England,1477
"2020-09-04",nation,E92000001,England,1669
"2020-09-03",nation,E92000001,England,1507
"2020-09-02",nation,E92000001,England,1239
"2020-09-01",nation,E92000001,England,1041
"2020-08-31",nation,E92000001,England,1149
"2020-08-30",nation,E92000001,England,1487
"2020-08-29",nation,E92000001,England,891
"2020-08-28",nation,E92000001,England,1106
"2020-08-27",nation,E92000001,England,1350
"2020-08-26",nation,E92000001,England,875
"2020-08-25",nation,E92000001,England,1065
"2020-08-24",nation,E92000001,England,758
"2020-08-23",nation,E92000001,England,938
"2020-08-22",nation,E92000001,England,1060
"2020-08-21",nation,E92000001,England,908
"2020-08-20",nation,E92000001,England,1035
"2020-08-19",nation,E92000001,England,707
"2020-08-18",nation,E92000001,England,975
"2020-08-17",nation,E92000001,England,634
"2020-08-16",nation,E92000001,England,952
"2020-08-15",nation,E92000001,England,934
"2020-08-14",nation,E92000001,England,1284
"2020-08-13",nation,E92000001,England,1059
"2020-08-12",nation,E92000001,England,925
"2020-08-11",nation,E92000001,England,1035
"2020-08-10",nation,E92000001,England,699
"2020-08-09",nation,E92000001,England,988
"2020-08-08",nation,E92000001,England,679
"2020-08-07",nation,E92000001,England,796
"2020-08-06",nation,E92000001,England,826
"2020-08-05",nation,E92000001,England,804
"2020-08-04",nation,E92000001,England,617
"2020-08-03",nation,E92000001,England,856
"2020-08-02",nation,E92000001,England,676
"2020-08-01",nation,E92000001,England,722
"2020-07-31",nation,E92000001,England,814
"2020-07-30",nation,E92000001,England,812
"2020-07-29",nation,E92000001,England,700
"2020-07-28",nation,E92000001,England,547
"2020-07-27",nation,E92000001,England,616
"2020-07-26",nation,E92000001,England,721
"2020-07-25",nation,E92000001,England,710
"2020-07-24",nation,E92000001,England,688
"2020-07-23",nation,E92000001,England,702
"2020-07-22",nation,E92000001,England,519
"2020-07-21",nation,E92000001,England,399
"2020-07-20",nation,E92000001,England,535
"2020-07-19",nation,E92000001,England,672
